states,year,quarter,trans_type,trans_counts,amount,brand,user_counts,percentage,level
andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435,Oppo,1268.0,0.083300486138483,state_aggregated
andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435,Realme,760.0,0.04992773617133,state_aggregated
andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435,OnePlus,721.0,0.047365654973065,state_aggregated
andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435,Motorola,474.0,0.031139140717382,state_aggregated
andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435,Apple,455.0,0.029890947313099,state_aggregated
andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435,Huawei,398.0,0.026146367100249,state_aggregated
andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435,Lenovo,377.0,0.024766784916568,state_aggregated
andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435,Others,1372.0,0.090132702667192,state_aggregated
andaman-&-nicobar-islands,2019,1,Recharge & bill payments,15263,6611459.872972583,Xiaomi,4576.0,0.246074424607442,state_aggregated
andaman-&-nicobar-islands,2019,1,Recharge & bill payments,15263,6611459.872972583,Samsung,3567.0,0.191815444181544,state_aggregated
andaman-&-nicobar-islands,2019,1,Recharge & bill payments,15263,6611459.872972583,Vivo,3420.0,0.183910518391051,state_aggregated
andaman-&-nicobar-islands,2019,1,Recharge & bill payments,15263,6611459.872972583,Oppo,1600.0,0.086040008604,state_aggregated
